property_type,neighbourhood,city,gps_lat,gps_lon,infra_zone,length_m,width_m,area_m2,num_bedrooms,num_bathrooms,floor_level,shared_wc,has_parking,has_generator,has_water_meter,fiber_internet,security_gate,standby_power_kva,road_frontage_m,shopfront_quality,loading_bay,near_school,near_market,near_hospital,near_highway,near_university,structural_quality,condition_score,build_year,flood_risk,noise_level,title_type,advance_months,estimated_rent
studio,nyalla,douala,4.100327,9.761329,III,8.0,3.0,24.0,1,1,2,1,0,1,0,1,0,0.0,0.0,0,0,1,0,1,1,0,9,6,2014,0,10,occupation,6,78000
studio,omnisport,yaounde,3.87065,11.520724,III,4.0,3.0,12.0,1,1,2,0,1,1,0,0,0,0.0,0.0,0,0,1,1,1,1,0,4,8,2019,0,7,occupation,2,169500
house,nkoldongo,yaounde,3.829379,11.483833,IV,8.0,6.0,48.0,4,3,0,0,0,1,1,1,0,0.0,0.0,0,0,1,1,0,1,0,10,7,1975,0,8,occupation,6,168000
apartment,nkoldongo,yaounde,3.832813,11.481106,V,9.0,8.0,72.0,4,1,4,0,1,1,1,0,1,0.0,0.0,0,0,0,0,0,1,0,10,3,2020,0,10,foncier,1,175500
office,cite_sic,douala,4.068494,9.720572,IV,20.0,19.0,380.0,0,2,3,0,1,0,1,0,0,20.0,7.0,4,0,1,1,0,1,0,7,3,1988,0,6,occupation,6,941500
house,omnisport,yaounde,3.872096,11.516731,II,15.0,7.0,105.0,3,3,0,1,1,1,0,1,0,0.0,0.0,0,0,1,1,0,1,0,10,6,2000,0,10,foncier,3,383500
apartment,bonaberi,douala,4.05611,9.661346,III,8.0,8.0,64.0,3,1,3,0,0,0,1,0,1,0.0,0.0,0,0,1,1,0,1,0,6,4,2014,0,2,occupation,3,192000
land,nyalla,douala,4.104211,9.760036,III,34.0,30.0,1020.0,0,0,0,0,1,0,1,0,1,0.0,0.0,0,0,0,0,0,0,0,10,3,2012,0,5,none,6,181000
studio,makepe,douala,4.073649,9.739584,V,4.0,5.0,20.0,1,1,2,0,0,1,0,0,1,0.0,0.0,0,0,0,0,1,1,0,3,4,2016,1,7,occupation,1,40500
office,nkoldongo,yaounde,3.829693,11.481507,II,7.0,5.0,35.0,0,1,1,0,0,1,1,0,1,0.0,10.0,0,0,1,1,0,1,1,3,7,1977,0,8,occupation,3,200000
office,nkoldongo,yaounde,3.830048,11.489096,III,17.0,15.0,255.0,0,1,2,0,1,0,1,0,1,0.0,17.0,3,0,0,0,0,1,0,8,6,1990,0,6,occupation,1,785500
warehouse,ekounou,yaounde,3.809775,11.552614,V,42.0,34.0,1428.0,0,1,0,0,1,0,1,1,0,50.0,13.0,3,1,1,0,0,1,0,7,3,1981,0,6,occupation,6,757500
warehouse,ndogpassi,douala,4.092937,9.740848,III,34.0,17.0,578.0,0,1,0,0,0,0,1,0,0,20.0,9.0,5,1,1,1,1,0,0,8,3,2006,1,5,occupation,1,453000
apartment,ekounou,yaounde,3.811716,11.547377,IV,5.0,9.0,45.0,2,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0,1,1,1,0,10,9,1995,0,2,none,3,114500
apartment,makepe,douala,4.074969,9.731344,III,11.0,7.0,77.0,2,1,1,0,1,0,1,1,1,0.0,0.0,0,0,1,0,1,0,0,10,10,2020,0,10,occupation,6,231500
house,bastos,yaounde,3.875554,11.515743,III,10.0,8.0,80.0,4,2,0,0,0,1,1,1,1,0.0,0.0,0,0,1,0,0,0,0,5,5,2022,0,10,foncier,3,371500
house,makepe,douala,4.070655,9.734551,III,7.0,5.0,35.0,3,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,4,3,2000,0,1,occupation,3,131000
house,olembe,yaounde,3.947425,11.494799,IV,19.0,7.0,133.0,3,1,0,0,0,1,0,0,0,0.0,0.0,0,0,1,0,0,0,0,5,8,2006,0,1,occupation,3,150500
shop,olembe,yaounde,3.946627,11.497729,IV,3.0,6.0,18.0,0,1,0,0,1,1,1,0,1,0.0,13.0,0,0,1,1,0,0,0,5,9,1978,0,8,foncier,3,177000
land,akwa,douala,4.046172,9.7039,III,45.0,19.0,855.0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,1,0,0,1,8,3,2019,0,2,occupation,3,170500
house,odza,yaounde,3.933362,11.555182,III,15.0,9.0,135.0,3,3,0,0,1,0,1,1,1,0.0,0.0,0,0,1,1,0,1,0,8,3,2014,0,5,foncier,3,245500
land,akwa,douala,4.052615,9.696784,II,28.0,26.0,728.0,0,0,0,0,1,1,1,1,0,0.0,0.0,0,0,1,1,0,1,0,4,6,1980,1,7,none,6,142500
land,bastos,yaounde,3.883792,11.510771,IV,18.0,26.0,468.0,0,0,0,0,1,1,1,0,1,0.0,0.0,0,0,1,1,0,0,0,3,9,1981,0,4,occupation,3,147500
house,makepe,douala,4.07881,9.732781,II,9.0,11.0,99.0,3,2,0,0,0,1,1,1,1,0.0,0.0,0,0,0,0,0,1,1,9,9,2020,1,7,none,6,246000
apartment,nkol_foulou,yaounde,3.81597,11.483458,III,6.0,5.0,30.0,3,1,2,0,1,1,1,0,0,0.0,0.0,0,0,0,1,1,0,1,7,6,1981,1,8,occupation,1,116000
apartment,bonapriso,douala,4.032453,9.687102,IV,6.0,4.0,24.0,4,1,2,0,0,0,1,1,1,0.0,0.0,0,0,1,1,0,1,0,6,5,1981,0,2,occupation,6,278500
studio,biyem_assi,yaounde,3.847532,11.485301,II,4.0,6.0,24.0,1,1,1,0,0,1,0,1,1,0.0,0.0,0,0,1,1,0,1,0,4,7,1977,0,1,occupation,6,157500
house,akwa,douala,4.04738,9.70139,I,18.0,7.0,126.0,6,1,0,0,0,0,1,0,1,0.0,0.0,0,0,0,1,0,1,0,10,3,1998,1,6,foncier,3,442500
house,nyalla,douala,4.103925,9.762496,V,19.0,17.0,323.0,4,2,0,1,0,1,1,0,1,0.0,0.0,0,0,1,1,0,1,0,6,8,1995,0,3,foncier,1,266500
studio,biyem_assi,yaounde,3.848265,11.486978,IV,7.0,4.0,28.0,1,1,2,0,0,0,0,1,1,0.0,0.0,0,0,0,1,0,1,0,3,8,1987,0,1,none,3,105000
house,odza,yaounde,3.933751,11.561102,III,16.0,12.0,192.0,5,3,0,0,0,1,1,0,1,0.0,0.0,0,0,1,1,1,1,1,6,4,2013,0,7,foncier,3,325500
house,akwa,douala,4.0471,9.697189,IV,10.0,11.0,110.0,5,1,0,0,1,1,0,1,0,0.0,0.0,0,0,0,1,0,0,0,7,6,2005,1,3,foncier,6,272000
house,bonapriso,douala,4.036635,9.681118,IV,18.0,11.0,198.0,3,2,0,0,1,1,1,1,1,0.0,0.0,0,0,0,1,1,0,0,10,4,1996,0,4,occupation,3,408000
office,deido,douala,4.058215,9.712488,IV,25.0,19.0,475.0,0,2,0,0,1,0,1,0,1,0.0,10.0,1,0,0,1,1,0,0,3,8,2016,0,1,none,2,1152000
office,bonanjo,douala,4.043945,9.697378,II,18.0,5.0,90.0,0,1,3,0,1,0,1,0,0,0.0,4.0,3,0,0,0,0,1,0,9,8,2024,0,10,occupation,3,628000
warehouse,essos,yaounde,3.876923,11.527208,IV,54.0,38.0,2052.0,0,0,0,0,1,1,1,1,0,10.0,17.0,3,1,0,1,1,1,0,3,4,1994,0,2,occupation,3,1208500
house,akwa,douala,4.045123,9.703945,IV,16.0,9.0,144.0,3,3,0,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,3,7,1983,0,7,occupation,6,240500
apartment,mvog_mbi,yaounde,3.856105,11.502054,V,5.0,6.0,30.0,4,1,1,0,1,0,1,1,1,0.0,0.0,0,0,1,1,0,0,0,5,6,2022,0,10,foncier,6,114500
apartment,nkoldongo,yaounde,3.828807,11.483975,III,10.0,6.0,60.0,2,1,1,0,1,1,1,0,0,0.0,0.0,0,0,1,1,1,0,0,10,5,1997,0,4,occupation,3,179500
apartment,melen,yaounde,3.905946,11.536661,IV,8.0,4.0,32.0,2,1,3,1,0,1,1,0,1,0.0,0.0,0,0,0,1,0,1,0,6,10,1975,0,10,occupation,3,95500
shop,melen,yaounde,3.909658,11.535055,IV,11.0,4.0,44.0,0,1,0,0,1,0,1,0,1,0.0,11.0,0,0,1,1,1,1,0,6,10,2004,1,6,foncier,3,234000
studio,ekounou,yaounde,3.811072,11.54925,III,6.0,5.0,30.0,1,1,2,1,0,0,1,0,1,0.0,0.0,0,0,1,1,0,1,0,10,9,2005,0,6,occupation,3,93000
house,odza,yaounde,3.925968,11.564473,III,8.0,11.0,88.0,5,3,0,0,1,1,1,0,0,0.0,0.0,0,0,1,1,1,0,1,5,7,1990,1,4,none,1,192500
house,yassa,douala,4.026558,9.780349,V,7.0,5.0,35.0,4,2,0,0,1,0,0,0,1,0.0,0.0,0,0,0,1,0,1,1,9,7,2017,1,7,none,1,109500
shop,nkol_foulou,yaounde,3.822048,11.479829,III,9.0,4.0,36.0,0,0,0,0,0,0,1,1,0,0.0,19.0,1,0,1,0,0,0,1,10,9,1985,0,7,none,6,291500
house,bonanjo,douala,4.041951,9.695686,V,6.0,17.0,102.0,4,2,0,1,1,1,1,0,0,0.0,0.0,0,0,0,1,1,0,1,3,3,2002,0,7,occupation,3,211000
house,biyem_assi,yaounde,3.846689,11.494367,II,12.0,14.0,168.0,2,2,0,0,0,1,1,0,0,0.0,0.0,0,0,0,1,0,1,0,8,7,2024,0,5,occupation,6,307500
studio,cite_sic,douala,4.064282,9.726379,IV,8.0,5.0,40.0,1,1,2,0,1,0,1,1,1,0.0,0.0,0,0,1,1,0,1,0,9,6,1984,0,2,none,6,133000
store,bonanjo,douala,4.041977,9.692913,III,8.0,17.0,136.0,0,1,0,0,0,0,1,0,0,0.0,5.0,2,0,0,1,0,0,0,5,4,2014,0,2,occupation,6,421500
apartment,ngousso,yaounde,3.894675,11.533921,II,7.0,5.0,35.0,4,1,2,0,0,0,1,0,1,0.0,0.0,0,0,1,1,0,1,1,4,6,2005,1,9,none,6,187500
house,logpom,douala,4.079943,9.719074,III,7.0,12.0,84.0,4,3,0,0,1,1,1,1,1,0.0,0.0,0,0,0,1,0,1,1,6,6,1992,0,7,foncier,3,249000
store,makepe,douala,4.078341,9.736813,II,7.0,16.0,112.0,0,1,0,0,1,0,1,1,1,0.0,9.0,2,0,1,0,0,0,0,4,9,2013,0,6,none,3,306000
studio,deido,douala,4.055386,9.70708,III,4.0,4.0,16.0,1,1,1,0,0,0,0,0,1,0.0,0.0,0,0,1,1,0,1,0,10,8,1995,1,1,occupation,2,134500
apartment,nyalla,douala,4.096854,9.759638,III,6.0,5.0,30.0,4,2,4,0,0,0,0,1,0,0.0,0.0,0,0,0,1,0,0,0,4,9,2006,0,2,none,2,167500
house,mvog_mbi,yaounde,3.858674,11.503058,III,19.0,11.0,209.0,4,1,0,1,1,0,1,0,1,0.0,0.0,0,0,1,1,0,0,0,3,5,2000,0,6,occupation,3,244500
house,nyalla,douala,4.10178,9.760231,II,20.0,15.0,300.0,4,3,0,1,1,0,1,0,1,0.0,0.0,0,0,0,1,1,0,1,8,7,1994,1,5,occupation,6,365500
studio,essos,yaounde,3.883296,11.525245,II,5.0,4.0,20.0,1,1,1,0,0,1,0,0,1,0.0,0.0,0,0,0,1,0,1,1,8,8,2019,0,6,none,3,181500
house,cite_sic,douala,4.0671,9.726356,IV,9.0,9.0,81.0,4,2,0,0,0,1,1,0,1,0.0,0.0,0,0,0,1,1,1,0,10,9,1983,0,2,foncier,1,227500
house,omnisport,yaounde,3.873273,11.520802,IV,21.0,5.0,105.0,4,3,0,0,1,0,1,0,0,0.0,0.0,0,0,1,0,0,0,1,4,8,1991,0,7,foncier,6,299500
house,essos,yaounde,3.884098,11.52795,III,10.0,10.0,100.0,3,2,0,0,1,0,1,1,1,0.0,0.0,0,0,0,1,0,0,0,8,5,1997,0,8,none,2,213000
apartment,bastos,yaounde,3.880197,11.51628,III,13.0,8.0,104.0,3,2,3,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,0,0,6,7,1975,0,4,occupation,6,384500
house,mvog_mbi,yaounde,3.851674,11.506266,III,15.0,6.0,90.0,4,2,0,0,1,1,1,1,1,0.0,0.0,0,0,0,0,0,0,0,10,9,2024,1,2,occupation,3,223500
house,nkol_foulou,yaounde,3.823328,11.478032,III,20.0,9.0,180.0,6,3,0,1,0,0,1,0,1,0.0,0.0,0,0,1,1,0,0,0,7,7,1981,0,6,occupation,6,250000
studio,nlongkak,yaounde,3.863164,11.50677,IV,7.0,3.0,21.0,1,1,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,1,0,3,7,1983,1,4,foncier,3,95500
land,cite_sic,douala,4.069531,9.724941,III,42.0,14.0,588.0,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,1,0,1,1,7,4,2010,0,9,occupation,3,70500
house,essos,yaounde,3.879139,11.526767,IV,6.0,12.0,72.0,5,1,0,0,1,1,0,1,1,0.0,0.0,0,0,1,1,0,0,1,6,3,2005,0,5,occupation,3,204500
house,akwa,douala,4.05149,9.699725,III,17.0,14.0,238.0,3,3,0,0,0,0,1,1,1,0.0,0.0,0,0,0,1,0,1,0,8,7,2005,1,2,occupation,2,363500
house,bonanjo,douala,4.043397,9.690712,III,8.0,13.0,104.0,4,1,0,1,0,1,1,1,1,0.0,0.0,0,0,0,1,0,0,0,8,4,2009,0,6,foncier,3,350500
apartment,deido,douala,4.05532,9.711144,III,9.0,6.0,54.0,3,1,1,0,0,0,1,0,1,0.0,0.0,0,0,1,0,0,0,0,5,8,1980,0,9,foncier,6,228000
house,mvog_mbi,yaounde,3.856324,11.509292,V,18.0,15.0,270.0,2,2,0,0,0,1,0,0,1,0.0,0.0,0,0,0,1,1,0,0,9,4,1977,1,10,occupation,2,183000
store,bonanjo,douala,4.049711,9.692588,III,14.0,15.0,210.0,0,0,0,0,1,0,1,0,1,0.0,11.0,1,0,0,1,0,1,0,4,7,2008,0,6,occupation,3,631000
apartment,olembe,yaounde,3.95072,11.492138,V,10.0,4.0,40.0,2,1,2,0,0,1,0,1,1,0.0,0.0,0,0,1,1,0,1,0,9,7,1983,0,9,foncier,3,129000
store,melen,yaounde,3.905396,11.536082,II,6.0,14.0,84.0,0,0,0,0,0,0,1,0,0,0.0,7.0,2,0,0,0,1,1,1,5,3,2000,0,10,none,3,142000
shop,makepe,douala,4.077669,9.738064,III,13.0,4.0,52.0,0,0,1,0,1,0,1,1,0,0.0,10.0,4,0,1,1,1,0,0,9,10,1995,0,7,occupation,3,378000
shop,ndogpassi,douala,4.093937,9.74426,III,8.0,4.0,32.0,0,0,0,0,1,0,1,0,1,0.0,7.0,3,0,1,0,1,1,1,6,7,2016,0,10,foncier,3,247000
house,nkoldongo,yaounde,3.826152,11.485639,IV,15.0,7.0,105.0,2,2,0,0,0,0,1,0,1,0.0,0.0,0,0,1,0,0,1,1,10,6,1997,0,8,none,1,176500
apartment,nkoldongo,yaounde,3.825878,11.48114,V,14.0,10.0,140.0,5,1,2,0,0,0,1,0,1,0.0,0.0,0,0,0,0,0,0,0,10,6,1979,1,9,none,6,162500
apartment,ndogpassi,douala,4.087969,9.740606,III,8.0,10.0,80.0,2,1,1,0,1,0,1,0,1,0.0,0.0,0,0,0,1,1,1,1,7,10,2014,0,8,occupation,3,225500
house,cite_sic,douala,4.061266,9.727515,III,13.0,10.0,130.0,4,3,0,0,1,1,1,0,1,0.0,0.0,0,0,0,1,0,0,0,7,10,1991,0,4,foncier,2,308000
house,makepe,douala,4.079721,9.737082,III,18.0,8.0,144.0,3,1,0,0,0,0,1,1,1,0.0,0.0,0,0,1,1,0,0,0,5,7,1996,0,7,none,6,220500
house,nkol_foulou,yaounde,3.817875,11.476745,IV,12.0,14.0,168.0,3,3,0,0,0,0,0,1,0,0.0,0.0,0,0,0,1,0,1,0,5,5,2016,0,8,occupation,3,190000
studio,cite_sic,douala,4.061703,9.720691,IV,5.0,5.0,25.0,1,1,0,1,1,0,0,0,1,0.0,0.0,0,0,0,1,0,1,0,3,3,2000,1,5,none,2,18500
shop,ngousso,yaounde,3.896852,11.532633,III,8.0,3.0,24.0,0,0,0,0,1,0,1,0,0,0.0,14.0,0,0,1,1,0,1,1,4,3,1986,0,6,foncier,1,240000
house,essos,yaounde,3.875719,11.530921,IV,21.0,9.0,189.0,3,1,0,1,0,0,0,0,1,0.0,0.0,0,0,1,1,1,1,0,8,7,2002,0,9,none,3,230500
apartment,yassa,douala,4.029871,9.776073,II,15.0,5.0,75.0,3,1,5,0,0,1,0,1,1,0.0,0.0,0,0,0,1,0,1,1,7,10,2010,0,5,occupation,3,255500
studio,omnisport,yaounde,3.872561,11.524977,II,6.0,4.0,24.0,1,1,1,0,0,0,1,0,1,0.0,0.0,0,0,1,1,1,1,0,6,3,2005,0,2,occupation,2,154500
house,bonanjo,douala,4.042217,9.69734,IV,16.0,10.0,160.0,4,2,0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,1,0,7,10,1986,0,3,none,3,362500
office,ndogpassi,douala,4.091087,9.749591,III,24.0,13.0,312.0,0,2,4,0,1,1,1,0,1,0.0,4.0,4,0,1,1,1,0,0,6,7,2022,1,1,occupation,3,899500
house,deido,douala,4.057327,9.713366,II,12.0,8.0,96.0,3,2,0,0,1,0,1,1,0,0.0,0.0,0,0,1,1,1,1,0,3,7,2006,0,6,none,1,280500
apartment,essos,yaounde,3.880097,11.530072,III,13.0,6.0,78.0,2,1,2,0,1,0,1,0,1,0.0,0.0,0,0,1,1,1,0,0,3,10,1976,0,3,foncier,3,239000
land,bonapriso,douala,4.036039,9.683961,I,43.0,16.0,688.0,0,0,0,0,0,1,1,1,1,0.0,0.0,0,0,1,1,0,1,0,7,4,2021,0,3,foncier,6,282500
apartment,melen,yaounde,3.90666,11.539511,III,5.0,10.0,50.0,4,2,3,0,0,1,0,0,1,0.0,0.0,0,0,1,1,0,0,1,5,6,1976,0,5,foncier,3,213000
shop,omnisport,yaounde,3.869928,11.522729,II,7.0,9.0,63.0,0,0,1,0,1,1,1,1,1,0.0,16.0,2,0,1,1,0,1,0,4,3,1989,0,10,occupation,1,604500
apartment,bonanjo,douala,4.044644,9.692093,IV,11.0,5.0,55.0,2,2,3,0,1,0,1,1,1,0.0,0.0,0,0,1,1,1,0,1,6,6,2012,0,10,occupation,6,238500
house,ekounou,yaounde,3.808966,11.548941,II,7.0,9.0,63.0,3,3,0,0,1,1,1,0,0,0.0,0.0,0,0,1,1,0,0,1,9,8,2012,0,7,none,6,222500
house,nlongkak,yaounde,3.862388,11.511714,II,15.0,15.0,225.0,4,3,0,1,1,1,0,1,0,0.0,0.0,0,0,0,1,0,1,0,8,8,2015,0,1,none,3,432000
studio,melen,yaounde,3.907473,11.537497,II,4.0,6.0,24.0,1,1,1,1,0,1,1,1,0,0.0,0.0,0,0,0,0,0,1,0,10,4,1994,1,9,occupation,1,66000
house,bastos,yaounde,3.875815,11.512296,IV,11.0,12.0,132.0,4,1,0,0,1,0,1,0,0,0.0,0.0,0,0,1,0,0,1,1,6,3,1979,1,5,none,6,323500
apartment,ekounou,yaounde,3.814191,11.546005,III,12.0,7.0,84.0,2,2,2,0,1,1,0,1,1,0.0,0.0,0,0,0,1,0,1,0,8,3,1987,0,5,foncier,1,206500
house,mvog_mbi,yaounde,3.856868,11.505392,V,11.0,14.0,154.0,3,3,0,0,1,1,1,0,0,0.0,0.0,0,0,1,1,1,0,0,8,6,2004,0,3,occupation,2,206500
house,cite_sic,douala,4.068732,9.726935,I,8.0,5.0,40.0,2,2,0,0,0,1,0,1,0,0.0,0.0,0,0,1,1,0,0,0,3,9,2015,0,2,occupation,2,212000
land,essos,yaounde,3.881498,11.527705,III,50.0,21.0,1050.0,0,0,0,0,1,0,1,0,1,0.0,0.0,0,0,0,0,1,0,0,8,5,1996,1,5,none,3,146000
apartment,olembe,yaounde,3.949579,11.494144,III,12.0,5.0,60.0,2,1,2,0,0,1,1,0,1,0.0,0.0,0,0,1,0,0,0,0,8,3,1988,0,4,foncier,3,152000
apartment,essos,yaounde,3.880484,11.527218,I,6.0,6.0,36.0,5,1,1,0,1,1,1,1,0,0.0,0.0,0,0,1,0,0,0,0,5,6,2021,0,5,occupation,6,272500
house,nkoldongo,yaounde,3.830678,11.487044,II,21.0,10.0,210.0,4,2,0,0,0,1,0,1,1,0.0,0.0,0,0,0,0,0,0,0,10,5,2009,0,5,occupation,3,335000
studio,bonanjo,douala,4.046668,9.694718,III,5.0,5.0,25.0,1,1,0,1,0,1,0,0,0,0.0,0.0,0,0,0,1,1,1,0,10,3,2013,0,5,occupation,6,148500
house,deido,douala,4.06414,9.712973,V,8.0,9.0,72.0,2,2,0,0,0,0,1,0,1,0.0,0.0,0,0,1,0,1,1,1,4,4,2007,0,3,none,6,120000
house,cite_sic,douala,4.060664,9.722413,I,10.0,14.0,140.0,4,1,0,1,1,0,1,0,1,0.0,0.0,0,0,1,0,1,0,1,7,8,2004,0,3,foncier,6,338000
house,akwa,douala,4.050508,9.697929,V,15.0,9.0,135.0,4,2,0,0,1,0,1,0,0,0.0,0.0,0,0,1,1,0,0,0,3,6,1988,1,1,occupation,3,201000
house,nkol_foulou,yaounde,3.824854,11.482061,III,7.0,9.0,63.0,2,1,0,0,1,1,1,1,1,0.0,0.0,0,0,1,1,1,0,1,4,6,1979,0,1,occupation,6,165000
house,essos,yaounde,3.880978,11.529419,II,8.0,11.0,88.0,5,2,0,0,0,1,1,0,1,0.0,0.0,0,0,1,1,1,1,0,5,3,2005,0,8,foncier,2,324000
office,mvog_mbi,yaounde,3.853163,11.502053,III,21.0,17.0,357.0,0,2,4,0,1,1,1,1,1,0.0,15.0,5,0,0,0,0,1,0,3,3,2022,0,3,occupation,3,1084500
house,makepe,douala,4.073018,9.732552,IV,16.0,5.0,80.0,4,2,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,10,5,1981,0,8,occupation,6,168500
house,ekounou,yaounde,3.81261,11.553431,I,7.0,8.0,56.0,4,2,0,0,1,0,1,0,1,0.0,0.0,0,0,1,1,0,0,0,8,5,1992,0,4,occupation,2,230500
store,ndogpassi,douala,4.094822,9.749644,II,7.0,11.0,77.0,0,1,0,0,0,0,1,0,1,0.0,8.0,1,1,1,1,0,0,1,10,8,1993,0,1,none,3,243500
house,cite_sic,douala,4.060805,9.72727,IV,13.0,5.0,65.0,2,1,0,0,1,1,1,0,1,0.0,0.0,0,0,0,0,1,1,1,3,9,2020,0,6,occupation,6,161000
house,mvog_mbi,yaounde,3.853517,11.507013,IV,7.0,17.0,119.0,4,1,0,0,0,0,1,0,1,0.0,0.0,0,0,1,1,0,1,0,3,6,1984,0,4,occupation,3,217500
house,biyem_assi,yaounde,3.846325,11.494541,III,14.0,11.0,154.0,3,1,0,0,1,0,0,0,0,0.0,0.0,0,0,1,1,0,1,0,4,6,1988,0,7,none,1,221000
studio,cite_sic,douala,4.060793,9.726961,I,5.0,3.0,15.0,1,1,0,0,1,1,0,1,1,0.0,0.0,0,0,1,1,0,1,0,3,6,2001,0,10,occupation,1,139500
house,bastos,yaounde,3.880387,11.513285,III,10.0,7.0,70.0,2,2,0,0,1,1,1,1,1,0.0,0.0,0,0,1,1,0,1,0,4,6,1987,1,1,foncier,6,347500
studio,essos,yaounde,3.884334,11.534369,III,4.0,4.0,16.0,1,1,0,0,0,0,1,0,0,0.0,0.0,0,0,1,1,0,1,0,3,3,2017,0,6,none,2,53000
house,deido,douala,4.058513,9.710247,V,6.0,10.0,60.0,3,2,0,1,0,0,1,1,1,0.0,0.0,0,0,1,1,0,0,0,5,10,1976,0,3,occupation,3,147500
land,bonaberi,douala,4.053181,9.658462,III,32.0,13.0,416.0,0,0,0,0,1,1,1,0,0,0.0,0.0,0,0,1,0,1,0,0,8,8,1996,0,7,occupation,6,107500
shop,bastos,yaounde,3.879568,11.509027,IV,6.0,6.0,36.0,0,1,0,0,0,0,1,1,1,0.0,18.0,3,0,1,1,0,0,0,3,6,2007,0,6,occupation,6,485500
office,omnisport,yaounde,3.867517,11.52006,II,27.0,11.0,297.0,0,1,2,0,0,0,1,0,1,0.0,11.0,0,0,1,1,0,1,0,9,5,1982,0,7,none,1,1115000
studio,odza,yaounde,3.934846,11.557479,I,8.0,3.0,24.0,1,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,7,10,2016,0,9,foncier,3,146000
office,biyem_assi,yaounde,3.854023,11.485204,IV,29.0,9.0,261.0,0,2,0,0,0,1,1,1,1,0.0,18.0,2,0,1,1,0,1,0,5,6,2002,0,9,none,6,737500
apartment,nkoldongo,yaounde,3.833383,11.48563,IV,11.0,6.0,66.0,3,2,3,0,0,1,0,1,1,0.0,0.0,0,0,0,1,0,1,0,8,6,2017,0,10,foncier,3,186500
studio,nyalla,douala,4.103099,9.761814,II,7.0,5.0,35.0,1,1,3,1,1,1,1,0,1,0.0,0.0,0,0,1,1,1,0,0,6,9,2000,0,7,foncier,1,157000
